ID,Group,Expectation,Instructions,IMI_Q1,IMI_Q2,IMI_Q3,IMI_Q4,IMI_Q5,IMI_Q6,IMI_Q7,IMI_Q8,IMI_Q9,IMI_Q10,IMI_Q11,IMI_Q12,IMI_Q13,IMI_Q14,IMI_Q15,IMI_Q16,IMI_Q17,IMI_Q18,IMI_Q19,IMI_Q20,IMI_Q21,IMI_Q22,IMI_Q23,IMI_Q24,IMI_Q25,IMI_Q26,IMI_Q27,IMI_Q28,IMI_Q29,IMI_Q30,IMI_Q31,IMI_Q32,IMI_Q33,IMI_Q34,IMI_Q35,IMI_Q36,IMI_Q37,MOVE_REINV_Q1,MOVE_REINV_Q2,MOVE_REINV_Q3,MOVE_REINV_Q4,MOVE_REINV_Q5,MOVE_REINV_Q6,MOVE_REINV_Q7,MOVE_REINV_Q8,MOVE_REINV_Q9,MOVE_REINV_Q10,RCSI2_HP_Q1,RCSI2_HP_Q2,RCSI2_HP_Q3,RCSI2_HP_Q4,RCSI2_HP_Q5,RCSI2_HP_Q6,RCSI2_HP_Q7,RCSI2_HP_Q8,RCSI2_HP_Q9,RCSI2_HP_Q10,RCSI2_HP_Q11,RCSI2_HP_Q12,RCSI2_HP_Q13,RCSI2_HP_Q14,RCSI2_HP_Q15,RCSI2_HP_Q16,RCSI2_HP_Q17,RCSI2_LP_Q1,RCSI2_LP_Q2,RCSI2_LP_Q3,RCSI2_LP_Q4,RCSI2_LP_Q5,RCSI2_LP_Q6,RCSI2_LP_Q7,RCSI2_LP_Q8,RCSI2_LP_Q9,RCSI2_LP_Q10,RCSI2_LP_Q11,RCSI2_LP_Q12,RCSI2_LP_Q13,RCSI2_LP_Q14,RCSI2_LP_Q15,RCSI2_LP_Q16,RCSI2_LP_Q17
1,TCE,Teach,Explicit,6,6,6,4,6,4,2,4,1,3,2,1,6,5,3,1,5,1,5,6,5,7,5,3,2,6,1,3,4,6,2,4,6,7,3,1,5,2,1,3,2,1,2,3,3,2,1,10,20,100,0,20,10,100,40,0,100,80,30,100,10,10,100,20,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0
2,TTA,Test,Analogy,6,6,6,4,6,7,3,5,1,4,2,1,6,6,4,1,7,1,6,6,6,7,6,5,1,7,4,2,6,6,6,5,5,6,5,4,7,4,2,3,4,1,2,4,2,3,7,50,20,20,20,0,0,65,20,0,50,30,0,60,0,0,65,10,0,10,70,10,10,0,75,10,0,65,20,0,50,20,0,60,20
5,TTE,Test,Explicit,5,3,4,2,4,3,1,6,5,1,4,3,6,6,3,1,6,4,4,4,2,4,5,7,5,4,1,2,2,3,4,3,5,5,3,2,4,0,1,4,3,1,0,3,0,3,0,50,50,30,20,25,10,60,70,40,50,60,15,55,15,20,50,25,25,50,50,20,20,15,55,35,20,65,35,15,60,15,15,60,15
6,TCA,Teach,Analogy,6,7,6,7,7,2,1,2,1,1,7,1,6,7,1,1,7,1,2,7,7,6,7,4,1,7,1,4,6,4,4,1,5,7,3,1,7,2,4,3,4,5,4,4,3,4,4,90,95,50,90,100,90,40,100,90,30,95,90,30,95,100,40,95,70,85,70,85,85,75,55,95,80,45,95,35,50,85,100,50,65
7,TCA,Teach,Analogy,7,6,7,3,4,5,1,6,1,1,5,2,7,6,1,3,7,1,6,7,7,7,7,5,1,7,1,2,7,5,6,4,6,6,5,1,7,2,4,3,1,4,4,0,3,4,4,70,95,50,80,85,70,55,100,65,70,95,35,65,45,60,5,65,30,10,75,40,0,10,90,30,5,90,0,0,65,25,0,15,0
8,TCA,Teach,Analogy,7,7,7,5,7,6,1,2,1,1,1,1,2,7,1,1,6,1,6,7,7,7,7,7,1,7,1,3,7,6,7,6,7,7,6,1,7,1,1,0,0,0,0,0,0,4,0,20,30,85,60,100,40,90,80,100,90,95,40,100,80,87,85,90,30,65,89,50,45,20,80,60,10,85,40,0,90,30,25,85,20
9,TTA,Test,Analogy,5,6,5,4,4,2,7,4,2,7,6,4,1,7,7,1,7,2,2,4,5,7,1,4,1,5,7,2,5,2,7,1,5,7,2,6,4,4,4,3,4,3,3,3,3,4,2,40,40,20,20,30,20,30,30,20,20,30,10,20,20,10,30,10,20,40,40,20,20,20,50,30,30,40,40,10,20,10,20,50,10
10,TTA,Test,Analogy,6,6,7,2,5,5,6,7,4,2,2,2,5,6,2,1,6,2,6,5,2,6,5,5,3,7,1,1,5,4,5,5,6,7,4,2,6,4,3,5,3,0,1,4,0,1,0,0,15,85,0,5,0,75,0,0,65,15,0,60,0,0,65,0,0,0,85,0,10,0,75,0,0,80,10,0,50,0,0,60,0
11,TTA,Test,Analogy,7,6,6,3,4,5,1,4,1,1,2,1,4,7,3,1,7,1,7,7,4,7,4,4,1,7,1,2,4,4,7,4,7,7,4,1,6,5,0,3,2,3,1,4,1,3,1,0,20,100,5,0,0,100,20,0,100,10,0,50,0,0,100,0,0,20,80,0,0,0,100,30,0,100,10,0,100,0,0,80,0
12,TCE,Teach,Explicit,7,7,NA,5,4,2,1,3,6,1,6,2,7,7,4,1,6,2,5,6,5,7,5,5,2,6,1,3,2,2,4,2,5,7,4,1,5,2,1,2,3,3,4,2,2,2,3,10,60,30,10,10,60,50,60,50,20,70,40,30,10,10,50,10,10,70,40,10,10,10,40,60,20,50,70,10,20,60,10,60,10
13,TCE,Teach,Explicit,6,6,6,7,5,2,2,2,2,1,5,4,6,7,1,1,6,4,4,3,6,6,7,4,2,5,1,3,4,3,4,2,2,6,1,1,4,2,4,4,NA,1,1,4,0,3,0,80,20,50,60,10,0,10,50,70,10,70,20,10,60,0,20,60,70,20,40,30,10,0,10,20,50,20,70,30,10,60,0,20,30
14,TTE,Test,Explicit,7,5,6,3,4,3,1,5,4,1,2,1,7,6,1,1,5,1,6,5,4,5,6,5,1,6,1,2,4,5,5,2,6,6,2,1,6,4,4,4,4,2,1,3,4,2,3,10,40,20,30,30,0,20,0,5,10,60,0,20,10,0,40,20,0,30,10,30,0,0,20,0,5,10,40,0,10,40,0,10,20
15,TTE,Test,Explicit,5,5,4,1,4,6,1,7,5,1,2,3,7,4,1,1,3,3,4,3,4,3,6,7,2,4,1,1,2,5,3,5,2,3,4,1,4,5,4,3,3,1,1,3,1,2,1,10,10,80,0,0,0,100,0,10,100,20,0,0,0,0,90,0,0,0,90,0,0,0,70,0,0,80,0,0,80,0,0,80,0
16,TCE,Teach,Explicit,6,6,5,2,5,5,2,5,3,3,3,2,6,6,2,2,7,2,5,5,6,6,6,5,3,6,2,3,4,5,5,5,5,6,4,2,5,1,2,3,3,2,2,3,3,1,1,20,40,80,10,40,10,80,50,20,80,50,20,70,30,20,70,30,20,10,100,10,20,0,100,30,10,100,20,20,90,20,20,100,10
17,TCE,Teach,Explicit,7,7,7,6,5,4,1,1,1,1,3,1,7,7,1,2,6,1,7,7,7,7,7,3,1,7,1,4,6,5,7,5,7,7,5,1,7,1,4,5,4,4,2,4,1,3,3,25,50,65,25,40,10,65,50,40,65,40,30,50,20,20,65,60,10,40,65,15,50,10,40,45,20,40,40,30,55,60,0,65,20
18,TTA,Test,Analogy,6,6,6,3,4,4,1,6,5,1,3,2,7,7,2,2,6,1,5,5,6,6,6,5,2,6,1,2,5,5,7,5,6,7,5,1,6,3,4,4,2,1,3,3,1,2,1,25,50,15,20,50,30,50,50,30,40,40,10,20,5,0,30,10,15,20,40,10,15,5,35,60,25,50,50,5,10,5,0,25,10
19,TTA,Test,Analogy,6,7,7,5,3,4,1,1,2,1,3,2,7,4,1,2,6,1,5,4,5,4,7,2,2,6,1,3,1,2,4,4,5,6,4,1,6,1,1,1,0,2,0,4,1,4,4,90,95,75,85,95,25,75,80,85,70,90,80,70,0,20,60,60,50,60,70,50,50,20,20,50,25,50,25,25,50,0,10,20,20
20,TTE,Test,Explicit,5,7,7,4,6,2,1,4,1,1,6,1,5,7,1,4,6,1,3,6,7,7,7,5,1,6,1,3,4,2,4,2,5,6,2,1,5,4,4,3,4,1,3,4,1,4,1,20,20,50,10,60,20,20,60,20,20,60,20,0,10,20,30,20,0,10,60,0,0,0,90,10,0,0,0,40,0,0,30,10,0
21,TTE,Test,Explicit,6,5,4,3,4,4,1,2,4,5,3,3,7,6,5,1,4,3,5,5,4,4,4,4,2,6,3,5,4,4,6,4,6,6,4,3,6,3,4,4,4,5,3,4,5,5,5,85,75,50,75,75,55,50,95,85,50,85,70,65,20,40,65,75,65,40,60,65,20,45,85,50,55,65,65,50,65,20,20,80,60
