ID,Condition,Group,Expectation,Instructions,Trial,Y_axis,X_axis,Radial.Error,Constant_X,Constant_Y,BVE
1,pt,TCE,Teach,Explicit,1,10.7,23.6,25.91235227,23.6,10.7,177.1036521
1,pt,TCE,Teach,Explicit,2,85.905,9.834,86.46604294,9.834,85.905,7060.625558
1,pt,TCE,Teach,Explicit,3,-44.011,16.236,46.91029543,16.236,-44.011,2120.500008
1,pt,TCE,Teach,Explicit,4,103.097,8.763,103.4687469,8.763,103.097,10251.68169
1,pt,TCE,Teach,Explicit,5,-40.881,17.117,44.31983585,17.117,-40.881,1848.000795
1,pt,TCE,Teach,Explicit,6,-34.694,17.339,38.78549416,17.339,-34.694,1357.788333
1,pt,TCE,Teach,Explicit,7,64.076,21.675,67.64273354,21.675,64.076,3924.148507
1,pt,TCE,Teach,Explicit,8,-128.793,13.812,129.531495,13.812,-128.793,17096.48696
1,pt,TCE,Teach,Explicit,9,-74.142,-11.42,75.01634864,-11.42,-74.142,6415.760321
1,pt,TCE,Teach,Explicit,10,78.346,18.684,80.54307898,18.684,78.346,5860.989564
1,b1,TCE,Teach,Explicit,1,-92.647,15.532,93.93992566,15.532,-92.647,10366.33568
1,b1,TCE,Teach,Explicit,2,41.403,32.435,52.59503431,32.435,41.403,1264.438216
1,b1,TCE,Teach,Explicit,3,154,5,154.0811475,5,154,21136.86538
1,b1,TCE,Teach,Explicit,4,-37.634,15.652,40.75908561,15.652,-37.634,2192.011209
1,b1,TCE,Teach,Explicit,5,-21.455,18.671,28.44157636,18.671,-21.455,938.1203763
1,b1,TCE,Teach,Explicit,6,16.247,17.141,23.61734299,17.141,16.247,50.47219066
1,b1,TCE,Teach,Explicit,7,16.247,17.141,23.61734299,17.141,16.247,50.47219066
1,b1,TCE,Teach,Explicit,8,26.138,9.65,27.86247555,9.65,26.138,349.6306979
1,b1,TCE,Teach,Explicit,9,-35.765,16.738,39.48792055,16.738,-35.765,2017.873142
1,b1,TCE,Teach,Explicit,10,24.965,26.665,36.52770798,26.665,24.965,334.8033943
1,b3,TCE,Teach,Explicit,1,-50.477,10.738,51.60651289,10.738,-50.477,2954.833102
1,b3,TCE,Teach,Explicit,2,27.031,13.033,30.00889951,13.033,27.031,539.8910379
1,b3,TCE,Teach,Explicit,3,-15.914,12.021,19.94391729,12.021,-15.914,392.7714907
1,b3,TCE,Teach,Explicit,4,50.037,12.77,51.64081979,12.77,50.037,2133.392255
1,b3,TCE,Teach,Explicit,5,33.914,10.893,35.62045543,10.893,33.914,902.0347459
1,b3,TCE,Teach,Explicit,6,37.931,16.517,41.37114997,16.517,37.931,1189.360732
1,b3,TCE,Teach,Explicit,7,1.321,18.657,18.70370792,18.657,1.321,64.46770634
1,b3,TCE,Teach,Explicit,8,-74.449,-4.071,74.56022158,-4.071,-74.449,6364.055424
1,b3,TCE,Teach,Explicit,9,-53.451,7.718,54.00534163,7.718,-53.451,3297.981136
1,b3,TCE,Teach,Explicit,10,82.862,12.191,83.75399408,12.191,82.862,6239.386765
1,b6,TCE,Teach,Explicit,1,33.994,17.259,38.12433759,17.259,33.994,782.6293887
1,b6,TCE,Teach,Explicit,2,4.096,14.445,15.01450102,14.445,4.096,173.3347863
1,b6,TCE,Teach,Explicit,3,-16.193,-6.392,17.40893199,-6.392,-16.193,773.9462531
1,b6,TCE,Teach,Explicit,4,48.02,16.683,50.83544914,16.683,48.02,1633.469095
1,b6,TCE,Teach,Explicit,5,-28.045,-9.376,29.57078628,-9.376,-28.045,1600.760023
1,b6,TCE,Teach,Explicit,6,-52.973,-14.06,54.80713757,-14.06,-52.973,4258.766581
1,b6,TCE,Teach,Explicit,7,31.215,16.321,35.22429937,16.321,31.215,631.1111575
1,b6,TCE,Teach,Explicit,8,20.243,-13.507,24.33553159,-13.507,20.243,366.4902039
1,b6,TCE,Teach,Explicit,9,48.591,19.678,52.42431654,19.678,48.591,1769.69737
1,b6,TCE,Teach,Explicit,10,11.963,-13.816,18.27553624,-13.816,11.963,277.0590699
1,hp,TCE,Teach,Explicit,1,-20.374,-9.937,22.66812399,-9.937,-20.374,546.0228284
1,hp,TCE,Teach,Explicit,2,-25.467,12.655,28.437952,12.655,-25.467,1171.24411
1,hp,TCE,Teach,Explicit,3,-5.743,-14.913,15.9806013,-14.913,-5.743,140.061988
1,hp,TCE,Teach,Explicit,4,33.327,-16.031,36.98218341,-16.031,33.327,1021.267732
1,hp,TCE,Teach,Explicit,5,13.249,-10.448,16.8729578,-10.448,13.249,124.0318006
1,hp,TCE,Teach,Explicit,6,-12.344,-10.464,16.18238647,-10.464,-12.344,242.576319
1,hp,TCE,Teach,Explicit,7,-127.094,-11.428,127.6067554,-11.428,-127.094,16886.11696
1,hp,TCE,Teach,Explicit,8,97.031,-11.217,97.67720333,-11.217,97.031,8906.386836
1,hp,TCE,Teach,Explicit,9,-5.434,16.894,17.74642477,16.894,-5.434,623.3334986
1,hp,TCE,Teach,Explicit,10,80.51,-11.987,81.3974709,-11.987,80.51,6072.197628
1,lp,TCE,Teach,Explicit,1,18.734,-15.444,24.27920699,-15.444,18.734,1064.473951
1,lp,TCE,Teach,Explicit,2,-4.004,-19.25,19.66200692,-19.25,-4.004,184.5057621
1,lp,TCE,Teach,Explicit,3,-72.785,-11.058,73.62021182,-11.058,-72.785,3538.818944
1,lp,TCE,Teach,Explicit,4,-19.006,-18.652,26.62940367,-18.652,-19.006,118.5515985
1,lp,TCE,Teach,Explicit,5,-21.763,-16.808,27.49794598,-16.808,-21.763,126.6520165
1,lp,TCE,Teach,Explicit,6,-15.184,-18.485,23.92172822,-18.485,-15.184,86.63020505
1,lp,TCE,Teach,Explicit,7,61.081,-11.07,62.07602968,-11.07,61.081,5538.576782
1,lp,TCE,Teach,Explicit,8,-62.692,18.487,65.3609672,18.487,-62.692,3213.264235
1,lp,TCE,Teach,Explicit,9,3.483,-14.586,14.99608899,-14.586,3.483,309.6282649
1,lp,TCE,Teach,Explicit,10,-21.075,13.208,24.87180912,13.208,-21.075,569.6994117
2,pt,TTA,Test,Analogy,1,129,19,130.3917175,19,129,27565.18636
2,pt,TTA,Test,Analogy,2,-44.877,18.127,48.39972374,18.127,-44.877,290.2221687
2,pt,TTA,Test,Analogy,3,-132.481,13.881,133.2062218,13.881,-132.481,9361.5193
2,pt,TTA,Test,Analogy,4,-118.308,12.704,118.9881275,12.704,-118.308,6812.621381
2,pt,TTA,Test,Analogy,5,22.133,16.74,27.75062682,16.74,22.133,3591.397275
2,pt,TTA,Test,Analogy,6,-29.922,-9.512,31.39751946,-9.512,-29.922,207.6114465
